number of query genes: 152
hit	support	identity	queries
NCU02815-t26_1 (histidine kinase)	7	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU02950-t26_1, NCU00821-t26_1
NCU04389-t26_1 (SET-4)	7	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU09846-t26_1 (hypothetical protein)	7	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02558-t26_1
NCU01266-t26_1 (phospholipase C-2)	7	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU00181-t26_1 (peptidyl-prolyl cis-trans isomerase-like 2)	7	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU02558-t26_1
NCU04732-t26_1 (Hyphal anastamosis-11 protein)	7	query	NCU02110-t26_1, NCU00881-t26_1, NCU00881-t26_2, NCU02811-t26_1, NCU03132-t26_1, NCU09307-t26_1, NCU02988-t26_1
NCU08341-t26_1 (CLAP1)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU02950-t26_1, NCU00821-t26_1
NCU05028-t26_1 (kinesin-7)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU09202-t26_1 (protein kinase dsk1)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU01463-t26_1, NCU00832-t26_1, NCU00821-t26_1
NCU05697-t26_1 (hypothetical protein)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU06068-t26_1 (fungal specific transcription factor)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU00832-t26_1, NCU00821-t26_1
NCU06627-t26_1 (hypothetical protein)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU09245-t26_1, NCU01463-t26_1, NCU00832-t26_1, NCU00821-t26_1
NCU09502-t26_1 (Septal pore-associated protein 4)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05798-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU00454-t26_1 (hypothetical protein)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05798-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU03903-t26_1 (lipase/esterase)	7	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU07121-t26_1 (modin)	7	new	NCU02175-t26_1, NCU09244-t26_1, NCU09245-t26_1, NCU09356-t26_1, NCU00832-t26_1, NCU05149-t26_1, NCU09357-t26_1
NCU06055-t26_1 (extracellular alkaline protease)	7	new	NCU07582-t26_1, NCU07523-t26_1, NCU11172-t26_1, NCU02344-t26_1, NCU04997-t26_1, NCU04496-t26_1, NCU04122-t26_1
NCU01504-t26_1 (calcineurin binding protein)	6	new	NCU04645-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05798-t26_1
NCU01067-t26_1 (nuclear division-66)	6	new	NCU04645-t26_1, NCU03035-t26_1, NCU02950-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1
NCU03311-t26_1 (polyadenylation factor subunit CstF64)	6	new	NCU04645-t26_1, NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU06430-t26_1 (capsule-associated protein CAP1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU06130-t26_1
NCU00483-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU04121-t26_1 (AP-1 complex subunit gamma-1)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU08024-t26_1 (mannan polymerase II complex ANP1 subunit)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU06238-t26_1 (chromatin remodeling complex subunit)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU05453-t26_1 (vesicle transport-3)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU06130-t26_1
NCU08427-t26_1 (activator 1 subunit 3)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU08003-t26_1 (porin-binding domain protein-3)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU16779-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU07313-t26_1 (nuclear division-44)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU06489-t26_1 (WD repeat protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU03266-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU03690-t26_1 (nucleoporin-37)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU05917-t26_1
NCU01466-t26_1 (Septal pore-associated protein 5)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU01377-t26_1 (anaphase-promoting complex subunit cut9)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU03892-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU01083-t26_1 (S-adenosylmethionine decarboxylase)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU05280-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU00346-t26_1 (steroid-5)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU09245-t26_1, NCU01463-t26_1
NCU08904-t26_1 (20S-pre-rRNA D-site endonuclease NOB1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU07058-t26_1 (small nucleolar ribonucleoprotein complex subunit Utp14)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU01515-t26_1 (DNA-directed RNA polymerase II polypeptide)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU09870-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU08484-t26_1 (chromosome segregation protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU04571-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU10927-t26_1 (Signal recognition particle protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU05917-t26_1
NCU06428-t26_1 (pseudouridine-2)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU06994-t26_1 (pre-mRNA-splicing factor cef-1)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU08668-t26_1 (pre-rRNA-processing protein esf-2)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU03572-t26_1 (SWI-SNF complex subunit)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU03342-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU05917-t26_1
NCU08939-t26_1 (mannan polymerase II complex ANP1 subunit)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU00846-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU08118-t26_1 (peroxisome biosynthesis protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU00919-t26_1 (ATP-dependent RNA helicase rok-1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU06463-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05798-t26_1
NCU08503-t26_2 (diphthamide biosynthesis protein 1, variant 1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU08503-t26_1 (diphthamide biosynthesis protein 1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU01725-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU07866-t26_1 (DEAD helicase superfamily protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU00158-t26_1 (transport of metals-63)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05798-t26_1
NCU06418-t26_1 (ATP-dependent RNA helicase dbp-8)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU10043-t26_2 (mitotic spindle checkpoint component mad3, variant 1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU09552-t26_1 (topoisomerase 1-associated factor 1)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU00772-t26_1 (serine/threonine-protein kinase)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1
NCU06411-t26_1 (VAD-4)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU03096-t26_1 (bromodomain associated domain-containing protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU03029-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU00359-t26_1 (YEATS family protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU07722-t26_1 (serine/threonine-protein kinase RIO2)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU00453-t26_1 (sodium/hydrogen exchanger 3)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU09245-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU04176-t26_1 (RNA polymerase-28)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU00066-t26_1 (pre-mRNA-splicing factor cwc-22)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU09063-t26_1 (nuclear condensin complex subunit Smc4)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU00821-t26_1
NCU10747-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU05232-t26_1 (AP-2 complex subunit beta)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU02950-t26_1
NCU00727-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU01580-t26_1 (transcription factor-14)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU01329-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU17009-t26_1 (Septal pore-associated protein, putative)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU00950-t26_1 (tRNA-dihydrouridine synthase-1)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU03095-t26_1 (transcription initiation factor-9)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU01971-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU01413-t26_1 (myosin-1)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1
NCU02572-t26_1 (U5 small nuclear ribonucleoprotein component)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU09137-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU06103-t26_1 (mitochondrial translation initiation factor)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU08115-t26_1 (DNA mismatch repair protein MSH3)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU03244-t26_1 (WD repeat protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU06491-t26_1 (SWR1-complex protein 5)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU09500-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1
NCU09594-t26_1 (seryl-tRNA synthetase)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU05460-t26_1 (Polycomb protein SUZ12)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU00164-t26_1 (Telomere binding protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU08983-t26_1 (poly(A) polymerase)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU01457-t26_1 (ubiquitin terminal hydrolase-9)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU06130-t26_1
NCU01362-t26_1 (Ino eighty subunit 1)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU03042-t26_1 (U2 snRNP component prp10)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU08036-t26_1 (pre-mRNA-splicing factor syf-1)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU00821-t26_1
NCU03365-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05798-t26_1
NCU03063-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU02345-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU01082-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU03496-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU09124-t26_1 (hypothetical protein)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU01771-t26_1 (DNA repair protein rhp57)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU01408-t26_1 (COP9 signalosome subunit 3)	6	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU07191-t26_1 (determinant of communication 1)	6	query	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03132-t26_1, NCU00321-t26_1, NCU05917-t26_1
NCU00455-t26_1 (mapkkk cascade protein kinase regulator ste50)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU01186-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU03064-t26_1 (porin-binding domain protein-4)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1, NCU02950-t26_1
NCU02747-t26_1 (DUF726 domain-containing protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU01463-t26_1
NCU07707-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU08511-t26_1 (arrestin domain conatining protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU01463-t26_1
NCU03360-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU02558-t26_1
NCU06579-t26_1 (BUD3)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01098-t26_1, NCU00821-t26_1
NCU05939-t26_1 (cell division control protein 4)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU04355-t26_1 (phosphatidylinositol 4-kinase type II subunit alpha)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU02558-t26_1
NCU02268-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU07957-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU02558-t26_1
NCU00167-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1, NCU00821-t26_1
NCU06202-t26_1 (serine/threonine protein kinase)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1, NCU02558-t26_1
NCU04024-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01098-t26_1, NCU02558-t26_1
NCU01216-t26_1 (ubiquitin ligase complex F-box protein GRR1)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU05246-t26_1 (DNA repair-13)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1, NCU04847-t26_1
NCU01584-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU06186-t26_1 (hypothetical protein)	6	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1, NCU02950-t26_1
NCU00881-t26_2 (Hyphal anastamosis-7 protein, variant)	6	query	NCU02110-t26_1, NCU00881-t26_1, NCU00938-t26_1, NCU04732-t26_1, NCU02811-t26_1, NCU03132-t26_1
NCU00881-t26_1 (Hyphal anastamosis-7 protein, variant)	6	query	NCU02110-t26_1, NCU00881-t26_2, NCU00938-t26_1, NCU04732-t26_1, NCU02811-t26_1, NCU03132-t26_1
NCU02800-t26_1 (transport of metals-55)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU02950-t26_1
NCU08348-t26_1 (hypothetical protein)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU09244-t26_1, NCU09245-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU01527-t26_1 (Septal pore-associated protein, putative)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU05798-t26_1
NCU06005-t26_1 (glycerol kinase-1)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU02413-t26_1 (transcription factor prr1)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU05798-t26_1, NCU02558-t26_1
NCU09302-t26_1 (WD repeat-containing protein)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU08150-t26_1 (hypothetical protein)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU00900-t26_1 (hypothetical protein)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02175-t26_1, NCU09244-t26_1, NCU09245-t26_1, NCU06130-t26_1
NCU02235-t26_2 (class I alpha-mannosidase 1A, variant 1)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU00832-t26_1, NCU00821-t26_1
NCU02235-t26_1 (class I alpha-mannosidase 1A)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU00832-t26_1, NCU00821-t26_1
NCU00776-t26_1 (Tyrosinase)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1, NCU05798-t26_1
NCU05006-t26_1 (Cytochrome P450)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU07788-t26_1 (fungal specific transcription factor)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1, NCU00821-t26_1, NCU02988-t26_1
NCU02945-t26_1 (Septal pore-associated protein, putative)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU06419-t26_1, NCU02175-t26_1, NCU09244-t26_1, NCU09245-t26_1
NCU03839-t26_1 (appressorium formation-1)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05798-t26_1
NCU05781-t26_1 (mitotic spindle checkpoint component MAD2)	6	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05917-t26_1
